"('first', 5.273767948150635)","('thing', 2.7867002487182617)","('I', 1.9034377336502075)","('noticed', 1.8694977760314941)","('about', 1.752915859222412)","('her', 4.708522319793701)","('was', 0.5204281806945801)","('her', 0.8061292767524719)","('hair', 2.4355227947235107)","('It', 0.4595860242843628)","('was', 0.7005875110626221)","('long', 0.23380155861377716)","('silky', 2.28301739692688)","('and', 0.997963547706604)","('black', 4.85979700088501)","('She', 0.5526410341262817)","('had', 0.38175591826438904)","('a', 2.394399881362915)","('mane', 1.3292081356048584)","('of', 1.904344081878662)","('wild', 1.1155471801757812)","('curls', 1.6718287467956543)","('and', 4.9261250495910645)","('her', 0.3200809359550476)","('hair', 5.699623107910156)","('cascaded', 3.123469114303589)","('down', 1.2572591304779053)","('her', 1.9822903871536255)","('back', 1.4397261142730713)","('in', 3.6013588905334473)","('waves', 0.003240217687562108)","('It', 0.5475599765777588)","('was', 0.40594542026519775)","('so', 0.20025724172592163)","('long', 1.4501967430114746)","('that', 1.9965859651565552)","('her', 0.4165298640727997)","('face', 1.7455201148986816)","('was', 0.2098296582698822)","('barely', 1.8621574640274048)","('visible', 2.237574338912964)","('behind', 0.4846847653388977)","('the', 4.777490615844727)","('curtain', 4.107287883758545)","('of', 0.3621615171432495)","('hair', 3.3929765224456787)","('The', 0.046773336827754974)","('next', 2.591818332672119)","('thing', 1.8907485008239746)","('I', 0.9160734415054321)","('noticed', 0.0801086574792862)","('was', 1.2275248765945435)","('her', 0.5944805145263672)","('eyes', 2.3093559741973877)","('They', 1.8337448835372925)","('were', 0.016886498779058456)","('the', 0.10570747405290604)","('most', 0.016277743503451347)","('unusual', 0.1955973356962204)","('shade', 0.030075524002313614)","('of', 0.34398695826530457)","('blue', 0.021734852343797684)","('almost', 0.10301130264997482)","('turquoise', 0.002488137688487768)","('in', 1.7955727577209473)","('color', 0.8473665118217468)","('She', 3.2312960624694824)","('had', 1.1064891815185547)","('on', 0.005453945603221655)","('glasses', 0.92369145154953)","('that', 2.308774948120117)","('made', 0.5649971961975098)","('her', 2.502729892730713)","('eyes', 1.7766700983047485)","('look', 0.04599330946803093)","('even', 0.10532064735889435)","('more', 1.3650888204574585)","('striking', 0.13614261150360107)","('The', 6.344449520111084)","('last', 5.296917915344238)","('thing', 1.830635666847229)","('I', 1.301607370376587)","('noticed', 0.19438377022743225)","('were', 0.5113806128501892)","('her', 0.7177882194519043)","('clothes', 0.20478296279907227)","('She', 1.3198282718658447)","('was', 0.6893678307533264)","('wearing', 0.36213138699531555)","('a', 2.123455047607422)","('flowing', 1.2003653049468994)","('white', 0.007288414519280195)","('dress', 0.0668388232588768)","('with', 0.020242534577846527)","('a', 3.5483579635620117)","('black', 0.012916001491248608)","('apron', 1.6355093717575073)","('and', 0.02901361882686615)","('a', 0.11527395248413086)","('red', 0.26256510615348816)","('headband', 4.020254999399185)"
"('bus', 8.300475120544434)","('With', 8.861795425415039)","('all', 6.116812705993652)","('those', 2.4447803497314453)","('strangers', 2.1533548831939697)","('and', 5.98488187789917)","('their', 3.707597017288208)","('germs', 3.723083972930908)","('I', 0.07335235923528671)","('think', 0.9331966042518616)","('not', 2.0507402420043945)","('Ill', 3.5649433732032776)","('drive', 1.021880030632019)","('us', 1.7714742422103882)","('in', 3.3239541053771973)","('my', 2.8540380001068115)","('spotless', 6.927299499511719)","('and', 0.9109907150268555)","('germfree', 7.492842845618725)","('vehicle', 4.406040668487549)","('pretends', 1.3355721533298492)","('to', 2.2957639694213867)","('grab', 1.1812231540679932)","('car', 5.605576992034912)","('keys', 7.672945499420166)","('To', 0.45288971066474915)","('the', 0.5883283615112305)","('Cheesecake', 11.462635593488812)","('Factory', 1.486140489578247)","('makes', 6.772542953491211)","('driving', 0.6436688303947449)","('sound', 9.675450325012207)","('effects', 0.16497588157653809)","('We', 0.024263575673103333)","('have', 0.08662985265254974)","('arrived', 1.690987229347229)","('Ive', 6.677237033843994)","('already', 4.8008222579956055)","('looked', 2.6736063957214355)","('at', 0.9805378913879395)","('the', 0.9785152077674866)","('menu', 3.781128406524658)","('and', 3.5983316898345947)","('nutrition', 3.6332156658172607)","('information', 1.8110432624816895)","('online', 3.4649486541748047)","('so', 3.3297910690307617)","('I', 3.1838507652282715)","('know', 6.477488040924072)","('exactly', 0.8504869937896729)","('what', 0.11025860160589218)","('to', 0.15128059685230255)","('order', 1.2354557514190674)","('to', 10.41619873046875)","('maximize', 1.1450344324111938)","('taste', 1.3316524028778076)","('and', 2.048611640930176)","('minimize', 0.7028591632843018)","('unhealthy', 0.4730128049850464)","('fats', 0.894813597202301)","('May', 0.057507649064064026)","('I', 1.3190369606018066)","('suggest', 0.16978618502616882)","('we', 3.703084945678711)","('start', 3.44714093208313)","('with', 5.579840660095215)","('an', 0.49371016025543213)","('appetizer', 7.444988340139389)","('of', 2.748608112335205)","('lettuce', 1.1919136047363281)","('wraps', 7.660865306854248)","('and', 0.09666793793439865)","('an', 1.953999638557434)","('entree', 5.970056176185608)","('of', 0.16386835277080536)","('pasta', 2.9585955142974854)","('primavera', 1.990547588095069)","('with', 6.86341667175293)","('grilled', 0.8951358795166016)","('chicken', 2.1033496856689453)","('I', 2.635901927947998)","('calculated', 0.9628510475158691)","('that', 0.001510670525021851)","('should', 0.03593059629201889)","('provide', 4.464287281036377)","('optimal', 1.5079500675201416)","('nutrition', 0.002948938636109233)","('as', 0.0032181162387132645)","('well', 1.7327227592468262)","('as', 2.1333608627319336)","('leftovers', 0.22070901095867157)","('for', 0.9206229448318481)","('tomorrows', 10.701737403869629)","('lunch', 1.1221169233322144)",,,,,,,
"('I', 4.2544379234313965)","('appreciate', 4.437206268310547)","('the', 0.9760408401489258)","('invitation', 7.197632789611816)","('as', 0.8510110378265381)","('an', 4.8034467697143555)","('AI', 3.38712739944458)","('digital', 7.197437286376953)","('assistant', 10.118032455444336)","('I', 2.776102304458618)","('am', 0.6759850382804871)","('unable', 0.21332308650016785)","('to', 1.3206738233566284)","('physically', 1.5361278057098389)","('accompany', 0.0014871024759486318)","('you', 5.217870235443115)","('or', 3.9367380142211914)","('enjoy', 0.0987653061747551)","('a', 4.201417446136475)","('meal', 8.11771297454834)","('However', 2.0050294399261475)","('I', 1.7009162902832031)","('can', 1.2402777671813965)","('provide', 0.3716851770877838)","('assistance', 0.0024531767703592777)","('in', 0.3929460644721985)","('finding', 0.5382663011550903)","('a', 0.4177621603012085)","('suitable', 5.053041934967041)","('restaurant', 1.4311455488204956)","('and', 2.485152244567871)","('information', 1.1703768968582153)","('on', 1.0072953701019287)","('bus', 0.5700122117996216)","('schedules', 2.4547863006591797)","('if', 7.91666841506958)","('youd', 11.32832384109497)","('like', 1.7003610134124756)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('I', 0.8436960577964783)","('must', 1.9174429178237915)","('say', 5.359832763671875)","('I', 1.1474928855895996)","('find', 1.3668078184127808)","('hand', 1.2638616561889648)","('dryers', 15.721959114074707)","('to', 5.532264232635498)","('be', 0.0006434039096347988)","('a', 1.718597173690796)","('rather', 0.027670592069625854)","('unsanitary', 9.676185607910156)","('and', 1.3156629800796509)","('inefficient', 0.003095955355092883)","('method', 2.8964455127716064)","('of', 2.611480712890625)","('drying', 1.5266778469085693)","('ones', 0.5533471405506134)","('hands', 1.2218104600906372)","('The', 0.9067044258117676)","('highspeed', 0.5280229561030865)","('jets', 2.5943603515625)","('of', 4.402660846710205)","('air', 1.1107208728790283)","('can', 4.925093173980713)","('spread', 0.08445010334253311)","('bacteria', 0.43222567439079285)","('and', 2.1988437175750732)","('other', 5.132165431976318)","('microorganisms', 2.551016330718994)","('potentially', 2.9740986824035645)","('making', 2.8297441005706787)","('the', 0.008538288064301014)","('situation', 1.0094256401062012)","('worse', 3.2262747287750244)","('than', 2.138474941253662)","('it', 1.6263500452041626)","('was', 1.5094971656799316)","('before', 0.18244010210037231)","('Furthermore', 1.0017523765563965)","('the', 1.4779647588729858)","('noise', 0.08427534997463226)","('pollution', 0.24555601179599762)","('caused', 0.26339367032051086)","('by', 2.8956542015075684)","('these', 0.0016462358180433512)","('machines', 1.0271399021148682)","('can', 1.361629843711853)","('be', 5.483878135681152)","('quite', 1.708141803741455)","('irritating', 0.0008136299438774586)","('especially', 0.28685787320137024)","('when', 0.8686550855636597)","('used', 0.2158481925725937)","('in', 0.0384439080953598)","('public', 0.34929442405700684)","('restrooms', 3.251469910144806)","('In', 0.3143468499183655)","('my', 3.0276808738708496)","('opinion', 2.365178108215332)","('paper', 0.05160516873002052)","('towels', 0.7841418981552124)","('or', 0.4903043508529663)","('electric', 1.9073304429184645e-05)","('dryers', 2.8015776872634888)","('are', 0.33548033237457275)","('more', 0.11323225498199463)","('hygienic', 1.648961607250385)","('and', 2.553304672241211)","('convenient', 4.440725803375244)","('options', 3.7412664890289307)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Sheldon', 15.23836898803711)","('I', 3.5673606395721436)","('must', 3.052870035171509)","('decline', 5.092672348022461)","('your', 7.040760517120361)","('offer', 1.3277184963226318)","('to', 1.4497441053390503)","('take', 2.1689090728759766)","('the', 3.3910720348358154)","('bus', 2.4541213512420654)","('I', 5.096381664276123)","('find', 1.4272657632827759)","('public', 0.8362805843353271)","('transportation', 5.179601669311523)","('to', 4.50544548034668)","('be', 0.4704420864582062)","('unsavory', 7.558210166171193)","('and', 2.654252529144287)","('I', 1.7658514976501465)","('prefer', 0.0012232924345880747)","('to', 2.531167984008789)","('travel', 1.362320065498352)","('in', 0.7890579104423523)","('my', 2.05090594291687)","('own', 0.41499611735343933)","('vehicle', 2.3431806564331055)","('Thank', 0.9092488288879395)","('you', 1.2510677576065063)","('for', 0.4393109083175659)","('the', 1.0048651695251465)","('invitation', 0.8822118043899536)","('but', 2.546257972717285)","('I', 0.004022127948701382)","('will', 0.3936079144477844)","('pass', 1.168267011642456)","('on', 1.780290126800537)","('the', 0.37918621301651)","('bus', 1.2959439754486084)","('ride', 0.20094549655914307)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bus', 8.300475120544434)","('With', 8.861795425415039)","('all', 6.116812705993652)","('those', 2.4447803497314453)","('strangers', 2.1533548831939697)","('and', 5.98488187789917)","('their', 3.707597017288208)","('germs', 3.723083972930908)","('I', 0.07335235923528671)","('think', 0.9331966042518616)","('not', 2.0507402420043945)","('Ill', 3.5649433732032776)","('drive', 1.021880030632019)","('us', 1.7714742422103882)","('in', 3.3239541053771973)","('my', 2.8540380001068115)","('spotless', 6.927299499511719)","('and', 0.9109907150268555)","('germfree', 7.492842845618725)","('vehicle', 4.406040668487549)","('pretends', 1.3355721533298492)","('to', 2.2957639694213867)","('grab', 1.1812231540679932)","('car', 5.605576992034912)","('keys', 7.672945499420166)","('To', 0.45288971066474915)","('the', 0.5883283615112305)","('Cheesecake', 11.462635593488812)","('Factory', 1.486140489578247)","('makes', 6.772542953491211)","('driving', 0.6436688303947449)","('sound', 9.675450325012207)","('effects', 0.16497588157653809)","('We', 0.024263575673103333)","('have', 0.08662985265254974)","('arrived', 1.690987229347229)","('Ive', 6.677237033843994)","('already', 4.8008222579956055)","('looked', 2.6736063957214355)","('at', 0.9805378913879395)","('the', 0.9785152077674866)","('menu', 3.781128406524658)","('and', 3.5983316898345947)","('nutrition', 3.6332156658172607)","('information', 1.8110432624816895)","('online', 3.4649486541748047)","('so', 3.3297910690307617)","('I', 3.1838507652282715)","('know', 6.477488040924072)","('exactly', 0.8504869937896729)","('what', 0.11025860160589218)","('to', 0.15128059685230255)","('order', 1.2354557514190674)","('to', 10.41619873046875)","('maximize', 1.1450344324111938)","('taste', 1.3316524028778076)","('and', 2.048611640930176)","('minimize', 0.7028591632843018)","('unhealthy', 0.4730128049850464)","('fats', 0.894813597202301)","('May', 0.057507649064064026)","('I', 1.3190369606018066)","('suggest', 0.16978618502616882)","('we', 3.703084945678711)","('start', 3.44714093208313)","('with', 5.579840660095215)","('an', 0.49371016025543213)","('appetizer', 7.444988340139389)","('of', 2.748608112335205)","('lettuce', 1.1919136047363281)","('wraps', 7.660865306854248)","('and', 0.09666793793439865)","('an', 1.953999638557434)","('entree', 5.970056176185608)","('of', 0.16386835277080536)","('pasta', 2.9585955142974854)","('primavera', 1.990547588095069)","('with', 6.86341667175293)","('grilled', 0.8951358795166016)","('chicken', 2.1033496856689453)","('I', 2.635901927947998)","('calculated', 0.9628510475158691)","('that', 0.001510670525021851)","('should', 0.03593059629201889)","('provide', 4.464287281036377)","('optimal', 1.5079500675201416)","('nutrition', 0.002948938636109233)","('as', 0.0032181162387132645)","('well', 1.7327227592468262)","('as', 2.1333608627319336)","('leftovers', 0.22070901095867157)","('for', 0.9206229448318481)","('tomorrows', 10.701737403869629)","('lunch', 1.1221169233322144)",,,,,,,
"('appreciate', 9.549423217773438)","('the', 1.399938941001892)","('offer', 5.501467704772949)","('but', 0.7213777899742126)","('I', 0.3722583055496216)","('would', 0.49291086196899414)","('prefer', 4.247307777404785)","('to', 1.4291229248046875)","('drive', 0.3915516138076782)","('or', 5.301656723022461)","('take', 6.870936870574951)","('a', 0.8496706485748291)","('cab', 0.5327390432357788)","('instead', 1.0365417003631592)","('of', 5.775696754455566)","('the', 2.0080339908599854)","('bus', 5.286116123199463)","('Buses', 2.6264058351516724)","('can', 6.994941711425781)","('be', 0.2097548544406891)","('crowded', 1.8787705898284912)","('and', 0.23323611915111542)","('unpredictable', 2.1228256225585938)","('and', 0.4418158233165741)","('I', 4.850414752960205)","('prefer', 0.7096526622772217)","('to', 0.6292892098426819)","('have', 0.35437285900115967)","('more', 2.0764527320861816)","('control', 0.49014174938201904)","('over', 0.06521806120872498)","('my', 0.3014180660247803)","('transportation', 0.0056845201179385185)","('Thank', 0.009065775200724602)","('you', 0.025122463703155518)","('for', 0.7010799050331116)","('the', 1.5859661102294922)","('invitation', 3.010815143585205)","('though', 0.0017326356610283256)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Sheldon', 15.23836898803711)","('I', 3.5673606395721436)","('am', 3.052870035171509)","('a', 2.995610237121582)","('staunch', 2.673713207244873)","('proponent', 10.314639568328857)","('of', 0.061005234718322754)","('hand', 0.06749089807271957)","('dryers', 15.41427230834961)","('Firstly', 0.0007295330869965255)","('they', 1.175724983215332)","('are', 7.9405837059021)","('much', 0.13158336281776428)","('more', 0.7481805682182312)","('efficient', 0.714815080165863)","('than', 2.475958824157715)","('paper', 0.5037943124771118)","('towels', 1.9741934537887573)","('as', 0.6231087446212769)","('they', 0.22950288653373718)","('dry', 0.14702270925045013)","('hands', 1.4184502363204956)","('quickly', 2.511190891265869)","('and', 0.23788930475711823)","('hygienically', 6.685545861721039)","('Secondly', 0.06493076682090759)","('they', 3.2475316524505615)","('are', 0.05202215909957886)","('environmentally', 0.001279726973734796)","('friendly', 0.30770590901374817)","('as', 0.431571900844574)","('they', 0.0013429442187771201)","('reduce', 0.23738934099674225)","('the', 0.5023648738861084)","('need', 1.2383180856704712)","('to', 0.01635831408202648)","('use', 0.285518079996109)","('paper', 0.06976614147424698)","('towels', 0.02511979080736637)","('Finally', 1.3130890130996704)","('they', 0.45506852865219116)","('are', 0.738279402256012)","('costeffective', 6.843012034893036)","('as', 0.43657633662223816)","('they', 0.16897405683994293)","('eliminate', 1.4357044696807861)","('the', 1.4453749656677246)","('need', 0.001740013831295073)","('to', 0.13542315363883972)","('continually', 0.33148589730262756)","('purchase', 0.49632227420806885)","('paper', 0.12205156683921814)","('towels', 0.11283203959465027)","('In', 0.014299190603196621)","('short', 0.072252057492733)","('hand', 3.0619845390319824)","('dryers', 0.1330403182655573)","('are', 0.27418267726898193)","('a', 4.82707405090332)","('superior', 0.5017381906509399)","('option', 0.8717496991157532)","('to', 0.0175650492310524)","('paper', 0.7363268136978149)","('towels', 1.6422288417816162)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('dryers', 16.55540943145752)","('are', 1.5033258199691772)","('extremely', 5.538712501525879)","('unhygienic', 6.631300939654466)","('and', 1.685925841331482)","('inefficient', 5.700479030609131)","('They', 1.1250851154327393)","('blast', 1.6708508729934692)","('bacteria', 6.0652756690979)","('and', 6.796347618103027)","('pathogens', 1.405221700668335)","('all', 4.613526821136475)","('over', 2.618934392929077)","('ones', 7.608634054660797)","('hands', 1.525437355041504)","('and', 4.608055114746094)","('the', 0.9351125359535217)","('surrounding', 3.608689546585083)","('area', 2.877476930618286)","('Not', 0.8678809404373169)","('to', 0.838641345500946)","('mention', 4.378362655639648)","('they', 0.6249362230300903)","('are', 0.007400361355394125)","('terribly', 1.7367559671401978)","('loud', 1.5650529861450195)","('and', 4.519656181335449)","('damaging', 4.243808269500732)","('to', 0.548565685749054)","('the', 4.802933692932129)","('eardrums', 3.9145854148082435)","('Paper', 0.28219446539878845)","('towels', 0.0018462770385667682)","('are', 0.6809568405151367)","('clearly', 3.6754677295684814)","('the', 0.2064962238073349)","('superior', 0.5330513119697571)","('hand', 6.905678749084473)","('drying', 0.4701680541038513)","('method', 2.064441680908203)","('They', 3.873260974884033)","('are', 0.3157764673233032)","('more', 1.0334023237228394)","('sanitary', 1.2288036346435547)","('and', 2.3465335369110107)","('gentle', 0.5387758016586304)","('on', 2.76352596282959)","('the', 1.4986494779586792)","('hands', 1.3384249210357666)","('while', 5.207615375518799)","('also', 0.27192825078964233)","('being', 0.34748369455337524)","('quieter', 1.0742714405059814)","('and', 2.097935199737549)","('better', 2.859865427017212)","('for', 0.9550862312316895)","('the', 0.5111876130104065)","('environment', 2.2511682510375977)","('since', 0.4260038137435913)","('they', 3.605926513671875)","('can', 0.04418144375085831)","('be', 0.09920638054609299)","('recycled', 0.18497256934642792)","('Hand', 7.438481330871582)","('dryers', 2.3843273669481277)","('should', 0.04641685634851456)","('be', 0.4244520962238312)","('abolished', 0.8693360686302185)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bus', 8.300475120544434)","('With', 8.861795425415039)","('all', 6.116812705993652)","('those', 2.4447803497314453)","('strangers', 2.1533548831939697)","('and', 5.98488187789917)","('their', 3.707597017288208)","('germs', 3.723083972930908)","('I', 0.07335235923528671)","('think', 0.9331966042518616)","('not', 2.0507402420043945)","('Ill', 3.5649433732032776)","('drive', 1.021880030632019)","('us', 1.7714742422103882)","('in', 3.3239541053771973)","('my', 2.8540380001068115)","('spotless', 6.927299499511719)","('and', 0.9109907150268555)","('germfree', 7.492842845618725)","('vehicle', 4.406040668487549)","('pretends', 1.3355721533298492)","('to', 2.2957639694213867)","('grab', 1.1812231540679932)","('car', 5.605576992034912)","('keys', 7.672945499420166)","('To', 0.45288971066474915)","('the', 0.5883283615112305)","('Cheesecake', 11.462635593488812)","('Factory', 1.486140489578247)","('makes', 6.772542953491211)","('driving', 0.6436688303947449)","('sound', 9.675450325012207)","('effects', 0.16497588157653809)","('We', 0.024263575673103333)","('have', 0.08662985265254974)","('arrived', 1.690987229347229)","('Ive', 6.677237033843994)","('already', 4.8008222579956055)","('looked', 2.6736063957214355)","('at', 0.9805378913879395)","('the', 0.9785152077674866)","('menu', 3.781128406524658)","('and', 3.5983316898345947)","('nutrition', 3.6332156658172607)","('information', 1.8110432624816895)","('online', 3.4649486541748047)","('so', 3.3297910690307617)","('I', 3.1838507652282715)","('know', 6.477488040924072)","('exactly', 0.8504869937896729)","('what', 0.11025860160589218)","('to', 0.15128059685230255)","('order', 1.2354557514190674)","('to', 10.41619873046875)","('maximize', 1.1450344324111938)","('taste', 1.3316524028778076)","('and', 2.048611640930176)","('minimize', 0.7028591632843018)","('unhealthy', 0.4730128049850464)","('fats', 0.894813597202301)","('May', 0.057507649064064026)","('I', 1.3190369606018066)","('suggest', 0.16978618502616882)","('we', 3.703084945678711)","('start', 3.44714093208313)","('with', 5.579840660095215)","('an', 0.49371016025543213)","('appetizer', 7.444988340139389)","('of', 2.748608112335205)","('lettuce', 1.1919136047363281)","('wraps', 7.660865306854248)","('and', 0.09666793793439865)","('an', 1.953999638557434)","('entree', 5.970056176185608)","('of', 0.16386835277080536)","('pasta', 2.9585955142974854)","('primavera', 1.990547588095069)","('with', 6.86341667175293)","('grilled', 0.8951358795166016)","('chicken', 2.1033496856689453)","('I', 2.635901927947998)","('calculated', 0.9628510475158691)","('that', 0.001510670525021851)","('should', 0.03593059629201889)","('provide', 4.464287281036377)","('optimal', 1.5079500675201416)","('nutrition', 0.002948938636109233)","('as', 0.0032181162387132645)","('well', 1.7327227592468262)","('as', 2.1333608627319336)","('leftovers', 0.22070901095867157)","('for', 0.9206229448318481)","('tomorrows', 10.701737403869629)","('lunch', 1.1221169233322144)",,,,,,,
"('based', 0.8436910510063171)","('on', 8.460857391357422)","('my', 0.053774476051330566)","('personal', 2.4258837699890137)","('experience', 3.491472005844116)","('and', 0.4508582353591919)","('scientific', 2.3011670112609863)","('research', 6.251929759979248)","('I', 0.8420634269714355)","('believe', 0.20776589214801788)","('that', 1.0878722667694092)","('hand', 1.4163860082626343)","('dryers', 8.833800554275513)","('are', 3.9450223445892334)","('a', 0.00031156453769654036)","('more', 0.7796790599822998)","('hygienic', 5.128790736198425)","('option', 0.0017375147435814142)","('compared', 0.00011634149996098131)","('to', 0.2139168530702591)","('paper', 1.1763052940368652)","('towels', 0.0006420934805646539)","('They', 0.10858719795942307)","('help', 0.018440006300807)","('reduce', 0.4798243045806885)","('the', 3.3608903884887695)","('amount', 4.574375629425049)","('of', 1.1771764755249023)","('waste', 0.1001044511795044)","('generated', 4.64816427230835)","('in', 0.0005206898204050958)","('restrooms', 4.571622610092163)","('and', 2.5317370891571045)","('are', 2.0337324142456055)","('costeffective', 0.8847030386787083)","('for', 1.7472102642059326)","('businesses', 4.25445556640625)","('However', 0.030526794493198395)","('some', 3.72385311126709)","('studies', 0.38276174664497375)","('have', 0.9394076466560364)","('shown', 0.7715389728546143)","('that', 0.0013235389487817883)","('hand', 3.7907304763793945)","('dryers', 4.493366181850433)","('can', 0.9225969314575195)","('spread', 0.04371940344572067)","('bacteria', 0.9214975833892822)","('and', 0.0065455324947834015)","('viruses', 1.5497195136049413e-06)","('if', 0.40723609924316406)","('they', 0.8070565462112427)","('are', 0.44763028621673584)","('not', 0.9012828469276428)","('properly', 0.5373767614364624)","('maintained', 1.8448872566223145)","('and', 1.7637866735458374)","('cleaned', 0.2051991969347)","('Therefore', 0.0365145206451416)","('it', 0.5168558359146118)","('is', 0.19695335626602173)","('important', 2.777881145477295)","('to', 0.4049367904663086)","('use', 0.7373971939086914)","('highquality', 1.203956897428725)","('hand', 0.23523041605949402)","('dryers', 0.7197884619235992)","('and', 0.1635960191488266)","('ensure', 2.3591270446777344)","('that', 2.468635082244873)","('they', 0.02988486923277378)","('are', 0.19001173973083496)","('regularly', 0.002902820473536849)","('cleaned', 1.6689286894688848e-06)","('and', 0.34766265749931335)","('maintained', 1.5125325918197632)","('to', 1.2233871221542358)","('prevent', 0.040232181549072266)","('any', 0.005269684828817844)","('potential', 0.29994097352027893)","('health', 0.7885144948959351)","('risks', 0.09626363962888718)",,,,,,,,,,,,,,,,,,,
"('appreciate', 9.549434661865234)","('the', 1.3999474048614502)","('offer', 5.501471042633057)","('but', 0.7213830351829529)","('I', 0.3722569942474365)","('would', 0.4929110109806061)","('prefer', 4.247321128845215)","('to', 1.4291226863861084)","('drive', 0.3915555477142334)","('or', 5.301651954650879)","('take', 6.8709492683410645)","('a', 0.8496816754341125)","('cab', 0.5327293872833252)","('instead', 1.036550521850586)","('of', 5.775689125061035)","('the', 2.0080361366271973)","('bus', 5.2861175537109375)","('Buses', 2.6263970136642456)","('can', 6.994945526123047)","('be', 0.20975784957408905)","('crowded', 1.8787599802017212)","('and', 0.23323751986026764)","('unpredictable', 2.122830867767334)","('and', 0.4418150782585144)","('I', 4.85042667388916)","('prefer', 0.7096540927886963)","('to', 0.6292909383773804)","('have', 0.3543737828731537)","('more', 2.076451063156128)","('control', 0.49014103412628174)","('over', 0.06521794945001602)","('my', 0.30142149329185486)","('transportation', 0.0056845201179385185)","('Thank', 0.009065656922757626)","('you', 0.02512211538851261)","('for', 0.7010748982429504)","('the', 1.5859686136245728)","('invitation', 3.010817050933838)","('though', 0.0017326356610283256)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('I', 1.3767058849334717)","('can', 1.9958494901657104)","('help', 2.7940833568573)","('you', 3.093690872192383)","('with', 0.4207186996936798)","('that', 0.5851154327392578)","('Can', 0.10702408105134964)","('you', 0.8114933371543884)","('provide', 3.9132251739501953)","('me', 0.20389048755168915)","('with', 3.381782054901123)","('more', 0.35555499792099)","('information', 0.04224024713039398)","('about', 1.9241572618484497)","('the', 0.9696103930473328)","('symptoms', 0.2722087800502777)","('the', 0.4096440374851227)","('patient', 6.279674053192139)","('is', 6.9361186027526855)","('experiencing', 2.429438591003418)","('For', 0.0776476189494133)","('example', 0.02801341563463211)","('is', 0.8375097513198853)","('there', 2.5478358268737793)","('any', 0.17122043669223785)","('particular', 0.01311497762799263)","('area', 1.4148255586624146)","('of', 1.4653410911560059)","('the', 0.338062584400177)","('abdomen', 4.305312633514404)","('that', 2.8257694244384766)","('is', 0.36057350039482117)","('hurting', 0.43483367562294006)","('Is', 5.2632365226745605)","('the', 0.12182299792766571)","('pain', 0.43583256006240845)","('constant', 5.054335117340088)","('or', 1.4337884187698364)","('intermittent', 1.0443042516708374)","('Does', 0.877252459526062)","('the', 0.14494092762470245)","('patient', 1.369215965270996)","('experience', 0.08849186450242996)","('any', 0.46720486879348755)","('other', 0.07263104617595673)","('symptoms', 1.9030001163482666)","('such', 0.8663442730903625)","('as', 0.5054402351379395)","('nausea', 2.152620553970337)","('or', 0.3507876396179199)","('vomiting', 1.1391019821166992)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('is', 2.169308662414551)","('a', 1.4540228843688965)","('famous', 7.716922760009766)","('line', 5.250060081481934)","('from', 0.5787422060966492)","('the', 1.0674476623535156)","('Chinese', 6.530541896820068)","('poem', 4.314031600952148)","('xx', 2.6796553134918213)","('Chang', 16.04557776451111)","('Hen', 2.029665231704712)","('Ge', 5.144607067108154)","('written', 1.5615718364715576)","('by', 2.887711524963379)","('the', 0.9315342307090759)","('Tang', 1.0290470123291016)","('dynasty', 1.851893424987793)","('poet', 0.23589935898780823)","('Bai', 1.8086061477661133)","('Juyi', 2.9569249749183655)","('In', 2.7205305099487305)","('English', 0.10304635763168335)","('it', 0.006537952926009893)","('translates', 0.004449942149221897)","('to', 1.583326816558838)","('As', 2.708465576171875)","('my', 3.12050461769104)","('sash', 1.3873352408409119)","('gradually', 3.1998496055603027)","('widens', 1.4473147988319397)","('I', 5.290620803833008)","('have', 6.028927326202393)","('no', 6.759966850280762)","('regrets', 0.8789658546447754)","('For', 5.423000812530518)","('the', 5.002863883972168)","('one', 0.0009011736838147044)","('I', 0.23215623199939728)","('love', 1.992246389389038)","('Ill', 5.900396108627319)","('gladly', 2.6478700637817383)","('bear', 3.845766305923462)","('this', 6.355593204498291)","('weight', 1.808422565460205)","('of', 5.627293109893799)","('grief', 1.8157097101211548)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
