mt,id,question_id,conversation,model_name,exp,time,nll,N100,N150,N200,N250,N300,N350,N400,word_speed,line_speed,pixel_speed
1.5,187,86,2,llama-13b,1.0,18516,224.6988650697822,65,38,17,5,2,0,0,192.875,2314.5,1.0246064994267308
1.5,354,86,1,alpaca-13b,1.25,42172,130.4479998461902,39,18,5,4,4,3,1,638.969696969697,7028.666666666667,3.2319037135934394
1.5,354,86,2,llama-13b,1.75,35273,224.6988650697822,58,17,5,3,2,2,2,367.4270833333333,4409.125,1.951876488133456
2.0,229,88,1,gpt-3.5-turbo,1.75,28921,152.40955441242113,75,40,22,10,7,5,4,317.8131868131868,4131.571428571428,1.832523498843656
1.0,229,88,2,vicuna-13b-v1.2,1.25,21157,126.1954256259196,64,42,24,12,5,5,2,302.24285714285713,3526.1666666666665,1.7338583643133034
2.0,492,88,1,gpt-3.5-turbo,1.5,24520,152.40955441242113,61,23,12,3,1,0,0,269.45054945054943,3502.8571428571427,1.5536626047386481
1.0,492,88,2,vicuna-13b-v1.2,1.5,21411,126.1954256259196,48,15,6,2,2,1,1,305.87142857142857,3568.5,1.7546741711165164
2.0,376,88,1,gpt-3.5-turbo,2.0,26412,152.40955441242113,58,30,11,2,1,1,1,290.24175824175825,3773.1428571428573,2.164516099553007
1.0,376,88,2,vicuna-13b-v1.2,1.0,29158,126.1954256259196,61,23,9,5,2,1,1,416.54285714285714,4859.666666666667,1.8475405476741233
2.0,323,88,1,gpt-3.5-turbo,1.5,31001,152.40955441242113,71,37,15,7,4,2,1,340.6703296703297,4428.714285714285,1.964318695330458
1.0,323,88,2,vicuna-13b-v1.2,1.5,31886,126.1954256259196,67,35,19,9,7,5,3,455.51428571428573,5314.333333333333,2.6131213217608353
2.0,543,88,1,gpt-3.5-turbo,2.0,18158,152.40955441242113,58,27,10,5,1,1,0,199.53846153846155,2594.0,1.150546720099689
1.0,543,88,2,vicuna-13b-v1.2,1.0,13698,126.1954256259196,47,21,6,3,2,0,0,195.68571428571428,2283.0,1.1225784314583178
2.0,550,88,1,gpt-3.5-turbo,1.25,14973,152.40955441242113,59,29,8,4,3,1,1,164.53846153846155,2139.0,0.9487353254792732
1.0,550,88,2,vicuna-13b-v1.2,1.75,12520,126.1954256259196,42,30,16,6,5,2,1,178.85714285714286,2086.6666666666665,1.0260389810087704
2.0,117,88,1,gpt-3.5-turbo,1.75,44325,152.40955441242113,32,7,2,1,1,1,1,487.0879120879121,6332.142857142857,2.8085683097488
1.0,117,88,2,vicuna-13b-v1.2,1.25,28024,126.1954256259196,38,8,4,2,1,1,1,400.34285714285716,4670.666666666667,2.2966227159576507
2.0,462,88,1,gpt-3.5-turbo,1.25,10861,152.40955441242113,48,31,16,7,3,3,3,119.35164835164835,1551.5714285714287,0.8900806208255796
1.0,462,88,2,vicuna-13b-v1.2,1.75,12480,126.1954256259196,49,31,12,5,2,1,1,178.28571428571428,2080.0,0.7907711789208128
2.0,105,88,1,gpt-3.5-turbo,1.25,27596,152.40955441242113,55,25,10,6,5,2,1,303.25274725274727,3942.285714285714,1.7485674241585536
1.0,105,88,2,vicuna-13b-v1.2,1.75,18841,126.1954256259196,47,22,14,4,1,0,0,269.15714285714284,3140.1666666666665,1.5440575432257384
2.0,284,88,1,gpt-3.5-turbo,1.0,20491,152.40955441242113,62,16,3,3,1,1,1,225.17582417582418,2927.285714285714,1.6792783354513352
1.0,284,88,2,vicuna-13b-v1.2,2.0,18955,126.1954256259196,58,22,10,3,3,0,0,270.7857142857143,3159.1666666666665,1.2010470910612185
2.0,2,88,1,gpt-3.5-turbo,2.0,28752,152.40955441242113,77,34,11,6,4,4,4,315.95604395604397,4107.428571428572,1.8218151391291033
1.0,2,88,2,vicuna-13b-v1.2,1.0,23949,126.1954256259196,66,26,7,4,4,3,2,342.12857142857143,3991.5,1.9626683351580707
2.0,534,88,1,gpt-3.5-turbo,1.5,27962,152.40955441242113,58,14,1,0,0,0,0,307.27472527472526,3994.5714285714284,1.7717583096942122
1.0,534,88,2,vicuna-13b-v1.2,1.5,20794,126.1954256259196,46,15,4,1,0,0,0,297.0571428571429,3465.6666666666665,1.7041097900236721
2.0,144,88,1,gpt-3.5-turbo,1.5,23414,152.40955441242113,66,40,22,16,7,4,3,257.2967032967033,3344.8571428571427,1.4835830435298005
1.0,144,88,2,vicuna-13b-v1.2,1.5,24320,126.1954256259196,59,39,19,13,5,2,2,347.42857142857144,4053.3333333333335,1.993072525410008
1.0,180,92,1,alpaca-13b,1.25,21189,126.18202723062312,49,22,8,2,2,1,1,325.9846153846154,3531.5,1.6619455144446957
2.0,180,92,2,gpt-3.5-turbo,1.75,28877,125.40416362351344,55,22,5,2,2,1,1,347.9156626506024,3609.625,1.7065934088924366
1.0,510,92,1,alpaca-13b,1.75,37661,126.18202723062312,83,40,23,11,6,4,1,579.4,6276.833333333333,2.22571646543263
2.0,510,92,2,gpt-3.5-turbo,1.25,31865,125.40416362351344,66,30,14,6,5,1,1,383.9156626506024,3983.125,2.499310671470113
1.0,190,92,1,alpaca-13b,1.0,11135,126.18202723062312,44,27,15,12,7,5,3,171.30769230769232,1855.8333333333333,0.6580641205117319
2.0,190,92,2,gpt-3.5-turbo,2.0,17860,125.40416362351344,70,46,25,11,5,3,1,215.18072289156626,2232.5,1.400837551936489
1.0,158,92,1,alpaca-13b,1.25,13004,126.18202723062312,51,29,14,8,5,0,0,200.06153846153848,2167.3333333333335,0.768519606927217
2.0,158,92,2,gpt-3.5-turbo,1.75,9706,125.40416362351344,27,11,3,1,0,0,0,116.93975903614458,1213.25,0.761283834215877
1.0,269,92,1,alpaca-13b,2.0,20305,126.18202723062312,43,21,6,2,0,0,0,312.38461538461536,3384.1666666666665,1.199999278580217
2.0,269,92,2,gpt-3.5-turbo,1.0,20659,125.40416362351344,43,23,10,4,2,1,1,248.90361445783134,2582.375,1.6203753071363902
1.0,236,92,1,alpaca-13b,1.5,17078,126.18202723062312,55,38,18,8,5,1,1,262.73846153846154,2846.3333333333335,1.009287745855353
2.0,236,92,2,gpt-3.5-turbo,1.5,22970,125.40416362351344,66,30,20,9,4,1,1,276.7469879518072,2871.25,1.8016370978712852
1.0,383,92,1,alpaca-13b,1.75,14218,126.18202723062312,43,20,10,7,3,2,2,218.73846153846154,2369.6666666666665,0.8402654391949532
2.0,383,92,2,gpt-3.5-turbo,1.25,28115,125.40416362351344,70,37,20,10,6,5,2,338.73493975903614,3514.375,2.2051818461754977
1.0,333,92,1,alpaca-13b,1.5,25518,126.1819701762888,75,41,20,11,10,9,6,392.5846153846154,4253.0,1.7684872819143118
2.0,333,92,2,vicuna-13b-v1.2,1.5,27007,148.34465480612562,80,53,37,21,15,9,5,375.09722222222223,3858.1428571428573,2.1182765825951155
1.0,527,92,1,alpaca-13b,1.0,33144,126.1819701762888,55,17,7,5,2,0,0,509.9076923076923,5524.0,2.2969959429331435
2.0,527,92,2,vicuna-13b-v1.2,2.0,28364,148.34465480612562,48,8,0,0,0,0,0,393.94444444444446,4052.0,2.22471200017506
1.0,163,92,1,alpaca-13b,1.5,7643,126.1819701762888,18,12,5,1,0,0,0,117.58461538461539,1273.8333333333333,0.5994737631271325
2.0,163,92,2,vicuna-13b-v1.2,1.5,25605,148.34465480612562,65,34,14,3,0,0,0,355.625,3657.8571428571427,1.7745166883539445
1.0,341,92,1,alpaca-13b,1.5,42221,126.1819701762888,156,88,49,32,15,11,10,649.5538461538462,7036.833333333333,2.92606401480148
2.0,341,92,2,vicuna-13b-v1.2,1.5,21678,148.34465480612562,66,42,20,11,5,4,4,301.0833333333333,3096.8571428571427,1.7002999132631136
1.0,69,92,1,alpaca-13b,1.75,9242,126.1819701762888,31,10,4,1,1,0,0,142.1846153846154,1540.3333333333333,0.64050315304695
2.0,69,92,2,vicuna-13b-v1.2,1.25,7586,148.34465480612562,34,22,11,5,3,0,0,105.36111111111111,1083.7142857142858,0.5950030049826543
1.0,345,92,1,alpaca-13b,1.5,17297,126.1819701762888,60,36,17,5,4,1,0,266.10769230769233,2882.8333333333335,1.198743025130177
2.0,345,92,2,vicuna-13b-v1.2,1.5,20311,148.34465480612562,75,46,21,12,10,8,6,282.09722222222223,2901.5714285714284,1.5930801521490499
1.0,91,92,1,alpaca-13b,1.75,21821,126.1819701762888,65,27,13,7,4,2,1,335.7076923076923,3636.8333333333335,1.512272159991073
2.0,91,92,2,vicuna-13b-v1.2,1.25,22186,148.34465480612562,51,20,7,3,2,1,1,308.1388888888889,3169.4285714285716,1.7401445647963576
2.0,457,92,1,claude-v1,1.25,12656,184.74166885997693,51,33,19,9,4,2,1,183.42028985507247,2109.3333333333335,0.9238156516005305
1.0,457,92,2,gpt-3.5-turbo,1.75,12837,125.40418524416702,44,30,18,8,4,1,1,154.66265060240963,1604.625,0.7586501225872566
2.0,337,92,1,claude-v1,1.25,20340,184.74166885997693,54,31,15,6,4,1,1,294.7826086956522,3390.0,1.2020677333820051
1.0,337,92,2,gpt-3.5-turbo,1.75,22296,125.40418524416702,57,31,12,6,3,3,3,268.6265060240964,2787.0,1.6274805442545375
2.0,167,92,1,claude-v1,1.25,28171,184.74166885997693,56,24,4,3,1,0,0,408.27536231884056,4695.166666666667,1.6648697206049394
1.0,167,92,2,gpt-3.5-turbo,1.75,34921,125.40418524416702,64,35,15,10,10,6,2,420.73493975903614,4365.125,2.5490333730674877
2.0,334,92,1,claude-v1,1.25,25566,184.74166885997693,71,32,17,12,8,6,5,370.5217391304348,4261.0,1.5109175846432814
1.0,334,92,2,gpt-3.5-turbo,1.75,21754,125.40418524416702,62,38,21,10,2,1,1,262.09638554216866,2719.25,1.5879176426136172
2.0,175,92,1,claude-v1,1.5,17566,184.74166885997693,55,24,6,2,1,0,0,254.57971014492753,2927.6666666666665,1.0381279156631418
1.0,175,92,2,gpt-3.5-turbo,1.5,28056,125.40418524416702,60,27,12,4,1,0,0,338.0240963855422,3507.0,2.0479276170436536
2.0,324,92,1,claude-v1,1.25,34752,184.74166885997693,83,45,27,22,16,9,4,503.6521739130435,5792.0,2.053798322049727
1.0,324,92,2,gpt-3.5-turbo,1.75,23989,125.40418524416702,65,33,12,5,4,4,2,289.0240963855422,2998.625,1.7510598661698107
2.0,370,92,1,claude-v1,1.25,30169,184.74166885997693,65,28,12,3,2,0,0,437.231884057971,5028.166666666667,1.7829489404327292
1.0,370,92,2,gpt-3.5-turbo,1.75,41089,125.40418524416702,51,17,6,4,2,0,0,495.04819277108436,5136.125,2.9992621135124997
2.0,100,92,1,claude-v1,1.5,23305,184.74166885997693,61,25,9,6,3,3,1,337.7536231884058,3884.1666666666665,1.3772954044477694
1.0,100,92,2,gpt-3.5-turbo,1.5,26488,125.40418524416702,53,31,11,8,6,4,3,319.13253012048193,3311.0,1.9334725805621722
2.0,94,92,1,claude-v1,1.0,26479,184.74166885997693,59,30,14,8,7,6,5,383.7536231884058,4413.166666666667,1.5648747056156398
1.0,94,92,2,gpt-3.5-turbo,2.0,29691,125.40418524416702,64,33,19,8,7,6,5,357.72289156626505,3711.375,2.1672732705176476
2.0,188,92,1,claude-v1,2.0,24161,312.79447084094863,80,39,18,7,4,2,2,254.32631578947368,3020.125,3.464897407444554
1.0,188,92,2,gpt-3.5-turbo,1.0,8457,90.45901504100766,23,18,12,2,1,0,0,211.425,2819.0,0.466345866016426
2.0,170,92,1,claude-v1,1.5,42614,312.79447084094863,80,33,19,10,5,4,4,448.5684210526316,5326.75,6.111218000945417
1.0,170,92,2,gpt-3.5-turbo,1.5,15589,90.45901504100766,31,13,6,5,4,2,1,389.725,5196.333333333333,0.8596270196677386
2.0,143,92,1,claude-v1,1.0,23466,312.79447084094863,73,52,33,26,13,9,4,247.01052631578946,2933.25,3.365228366503618
1.0,143,92,2,gpt-3.5-turbo,2.0,6396,90.45901504100766,20,13,6,4,4,2,0,159.9,2132.0,0.3526957738017099
2.0,210,92,1,claude-v1,1.0,38875,312.79447084094863,55,10,2,1,1,1,1,409.2105263157895,4859.375,2.143691089202857
1.0,210,92,2,gpt-3.5-turbo,2.0,11233,90.45901504100766,22,6,0,0,0,0,0,280.825,3744.3333333333335,1.610909837251135
2.0,235,92,1,claude-v1,2.0,8700,312.79447084094863,26,18,13,8,5,5,2,91.57894736842105,1087.5,1.2476556204117222
1.0,235,92,2,gpt-3.5-turbo,1.0,11527,90.45901504100766,28,15,9,3,2,0,0,288.175,3842.3333333333335,0.6356354259869152
2.0,82,92,1,claude-v1,1.75,45866,312.79447084094863,63,28,17,12,12,9,6,482.8,5733.25,6.577583067333799
1.0,82,92,2,gpt-3.5-turbo,1.25,3344,90.45901504100766,6,2,1,1,1,1,1,83.6,1114.6666666666667,0.1843987910558033
2.0,317,92,1,claude-v1,2.0,36778,184.74166885997693,69,28,14,9,6,5,3,533.0144927536232,6129.666666666667,2.6845837574718954
1.0,317,92,2,vicuna-13b-v1.2,1.0,27074,148.34465480612562,71,31,10,5,2,0,0,376.02777777777777,3867.714285714286,1.8763235626047527
2.0,56,92,1,claude-v1,1.25,22033,184.74166885997693,51,23,10,5,2,2,1,319.3188405797101,3672.1666666666665,1.5269645067175341
1.0,56,92,2,vicuna-13b-v1.2,1.75,18951,148.34465480612562,47,28,14,5,1,0,0,263.2083333333333,2707.285714285714,1.3833146660462747
2.0,66,92,1,claude-v1,1.25,10021,184.74166885997693,42,24,10,3,0,0,0,145.231884057971,1670.1666666666667,0.694490596914465
1.0,66,92,2,vicuna-13b-v1.2,1.75,11250,148.34465480612562,50,23,9,2,0,0,0,156.25,1607.142857142857,0.8211856890412427
2.0,28,92,1,claude-v1,1.25,12160,184.74166885997693,42,33,24,12,7,2,1,176.231884057971,2026.6666666666667,0.8427308311026739
1.0,28,92,2,vicuna-13b-v1.2,1.75,13681,148.34465480612562,37,25,18,15,9,6,4,190.01388888888889,1954.4285714285713,0.9986347921576214
2.0,99,92,1,claude-v1,1.75,22094,184.74166885997693,50,23,12,7,5,3,3,320.2028985507246,3682.3333333333335,1.5311920215775063
1.0,99,92,2,vicuna-13b-v1.2,1.25,23567,148.34465480612562,57,32,22,12,8,4,4,327.31944444444446,3366.714285714286,1.7202562785453304
2.0,532,92,1,claude-v1,1.75,21238,184.74166885997693,45,11,0,0,0,0,0,307.7971014492754,3539.6666666666665,1.5502525923429256
1.0,532,92,2,vicuna-13b-v1.2,1.25,22081,148.34465480612562,52,18,4,1,1,0,0,306.68055555555554,3154.4285714285716,1.5302910757876762
2.0,104,92,1,claude-v1,1.5,24194,184.74166885997693,56,32,12,10,6,3,2,350.6376811594203,4032.3333333333335,1.6767294183962247
1.0,104,92,2,vicuna-13b-v1.2,1.5,24388,148.34465480612562,54,33,18,11,6,6,5,338.72222222222223,3484.0,1.7801845852744735
2.0,471,92,1,claude-v1,1.0,27005,312.79447084094863,50,30,19,9,6,6,6,284.2631578947368,3375.625,4.2247606895118155
1.0,471,92,2,vicuna-13b-v1.2,2.0,30638,109.2388231207151,65,34,17,9,3,2,2,765.95,10212.666666666666,1.689476722597997
2.0,275,92,1,claude-v1,1.0,24893,312.79447084094863,50,18,5,3,2,1,1,262.0315789473684,3111.625,3.894351706869751
1.0,275,92,2,vicuna-13b-v1.2,2.0,10802,109.2388231207151,21,8,2,1,1,1,1,270.05,3600.6666666666665,0.595656621107891
2.0,201,92,1,claude-v1,1.0,39466,312.79447084094863,53,11,2,1,1,1,1,415.4315789473684,4933.25,6.174204975829413
1.0,201,92,2,vicuna-13b-v1.2,2.0,12932,109.2388231207151,23,8,0,0,0,0,0,323.3,4310.666666666667,0.7131115926835073
2.0,430,92,1,claude-v1,1.0,44402,312.79447084094863,70,28,10,2,1,0,0,467.38947368421054,5550.25,2.4484674403288813
1.0,430,92,2,vicuna-13b-v1.2,2.0,16471,109.2388231207151,32,13,3,1,0,0,0,411.775,5490.333333333333,2.5767833111256846
2.0,189,92,1,gpt-3.5-turbo,2.0,15772,125.40416362351344,57,32,13,7,1,1,1,190.02409638554218,1971.5,1.237066622012447
1.0,189,92,2,alpaca-13b,1.0,18953,126.1819701762888,50,27,15,7,3,1,1,291.5846153846154,3158.8333333333335,1.1200978245225734
2.0,154,92,1,gpt-3.5-turbo,1.75,22277,125.40416362351344,66,32,11,6,2,1,1,268.3975903614458,2784.625,1.7472820909568403
1.0,154,92,2,alpaca-13b,1.25,26012,126.1819701762888,56,20,5,3,0,0,0,400.18461538461537,4335.333333333333,1.537275608688924
2.0,288,92,1,gpt-3.5-turbo,1.75,34620,125.40416362351344,79,38,20,10,7,1,0,417.10843373493975,4327.5,2.715397315119891
1.0,288,92,2,alpaca-13b,1.25,29844,126.1819701762888,71,31,10,7,5,5,3,459.1384615384615,4974.0,1.7637418601304111
2.0,61,92,1,gpt-3.5-turbo,1.75,22910,125.40416362351344,49,17,10,6,6,4,3,276.0240963855422,2863.75,1.7969310366665714
1.0,61,92,2,alpaca-13b,1.25,19757,126.1819701762888,39,14,3,2,0,0,0,303.95384615384614,3292.8333333333335,1.1676131862550774
2.0,20,92,1,gpt-3.5-turbo,2.0,7922,125.40416362351344,25,17,11,8,5,3,3,95.44578313253012,990.25,0.6213569477290519
1.0,20,92,2,alpaca-13b,1.0,7297,126.1819701762888,31,21,16,9,2,2,2,112.26153846153846,1216.1666666666667,0.4312432768185099
2.0,355,92,1,gpt-3.5-turbo,2.0,26015,125.40416362351344,56,21,6,3,3,3,1,313.43373493975906,3251.875,2.040469704010513
1.0,355,92,2,alpaca-13b,1.0,32846,126.1819701762888,45,19,7,2,2,1,1,505.32307692307694,5474.333333333333,1.9411561834152085
2.0,538,92,1,gpt-3.5-turbo,1.25,33606,125.40416362351344,50,12,3,1,1,1,1,404.89156626506025,4200.75,2.6358648807602267
1.0,538,92,2,alpaca-13b,1.75,18035,126.1819701762888,51,9,0,0,0,0,0,277.46153846153845,3005.8333333333335,1.0658452100071023
2.0,132,92,1,gpt-3.5-turbo,2.0,19829,125.40416362351344,47,22,8,5,4,3,2,238.90361445783134,2478.625,1.5552747938045153
1.0,132,92,2,alpaca-13b,1.0,22117,126.1819701762888,43,20,3,0,0,0,0,340.26153846153846,3686.1666666666665,1.3070861386042187
1.0,342,92,1,gpt-3.5-turbo,1.75,19800,125.40416362351344,58,35,20,12,7,3,2,238.55421686746988,2475.0,1.1701544307258458
2.0,342,92,2,claude-v1,1.25,18013,184.74166885997693,53,32,21,13,6,4,3,261.05797101449275,3002.1666666666665,1.3148460281511025
1.0,172,92,1,gpt-3.5-turbo,1.5,35838,125.40416362351344,67,28,12,7,5,2,2,431.7831325301205,4479.75,2.1179795196137805
2.0,172,92,2,claude-v1,1.5,21571,184.74166885997693,60,35,14,3,0,0,0,312.6231884057971,3595.1666666666665,1.5745596887385462
1.0,254,92,1,gpt-3.5-turbo,1.75,30176,125.40416362351344,57,20,3,2,2,2,1,363.56626506024094,3772.0,2.202675498000759
2.0,254,92,2,claude-v1,1.25,32213,184.74166885997693,49,28,14,6,3,1,0,466.8550724637681,5368.833333333333,1.903746700857155
1.0,305,92,1,gpt-3.5-turbo,1.0,23117,125.40416362351344,55,29,11,5,2,1,0,278.51807228915663,2889.625,1.6874088509836807
2.0,305,92,2,claude-v1,2.0,20958,184.74166885997693,62,41,20,17,13,10,8,303.7391304347826,3493.0,1.2385907353107208
1.0,478,92,1,gpt-3.5-turbo,1.75,10065,125.40416362351344,19,14,12,8,6,6,5,121.26506024096386,1258.125,0.7346874631288984
2.0,478,92,2,claude-v1,1.25,13888,184.74166885997693,38,26,17,11,7,6,6,201.2753623188406,2314.6666666666665,0.8207628653495225
1.0,278,92,1,gpt-3.5-turbo,1.25,22247,125.40416362351344,59,36,14,8,3,2,1,268.03614457831327,2780.875,1.314768970725146
2.0,278,92,2,claude-v1,1.75,17613,184.74166885997693,58,22,2,0,0,0,0,255.2608695652174,2935.5,1.2856483147629696
1.0,470,92,1,gpt-3.5-turbo,1.75,24710,125.40416362351344,56,38,24,15,7,6,4,297.71084337349396,3088.75,1.8036887445519205
2.0,470,92,2,claude-v1,1.25,24491,184.74166885997693,62,38,21,13,10,7,4,354.94202898550725,4081.8333333333335,1.447386472874075
1.0,494,92,1,gpt-3.5-turbo,1.75,21802,125.40416362351344,50,21,13,7,3,2,1,262.67469879518075,2725.25,1.2884700453881257
2.0,494,92,2,claude-v1,1.25,14483,184.74166885997693,51,28,12,8,3,2,0,209.8985507246377,2413.8333333333335,1.0571762075008282
1.0,225,92,1,gpt-3.5-turbo,1.75,25325,125.40416362351344,68,54,31,24,15,9,6,305.12048192771084,3165.625,1.8485802288861752
2.0,225,92,2,claude-v1,1.25,19307,184.74166885997693,65,46,30,21,16,10,8,279.81159420289856,3217.8333333333335,1.1410187673749446
1.0,490,92,1,gpt-3.5-turbo,1.75,31476,125.40416362351344,61,17,9,5,5,3,2,379.2289156626506,3934.5,2.2975680665121914
2.0,490,92,2,claude-v1,1.25,22571,184.74166885997693,51,15,8,3,0,0,0,327.1159420289855,3761.8333333333335,1.3339169523188417
1.0,318,92,1,gpt-3.5-turbo,1.75,29550,125.40416362351344,76,40,17,12,8,1,0,356.0240963855422,3693.75,1.7463668397953909
2.0,318,92,2,claude-v1,1.25,21423,184.74166885997693,73,47,33,18,11,5,2,310.4782608695652,3570.5,1.5637565347849371
1.0,60,92,1,gpt-3.5-turbo,1.75,19802,125.40416362351344,53,28,15,7,2,2,1,238.57831325301206,2475.25,1.4454328012795277
2.0,60,92,2,claude-v1,1.25,16309,184.74166885997693,55,19,10,3,1,1,1,236.36231884057972,2718.1666666666665,0.9638408389246372
1.0,7,92,1,gpt-3.5-turbo,2.0,23495,125.40416362351344,48,19,6,3,3,3,3,283.0722891566265,2936.875,1.3885241590860478
2.0,7,92,2,claude-v1,1.0,24399,184.74166885997693,66,22,10,1,0,0,0,353.60869565217394,4066.5,1.780987522392647
1.0,8,92,1,gpt-3.5-turbo,1.5,26824,125.40416362351344,61,30,10,4,1,1,1,323.1807228915663,3353.0,1.5852637600904083
2.0,8,92,2,claude-v1,1.5,20619,184.74166885997693,60,27,10,6,4,3,2,298.82608695652175,3436.5,1.5050691308747897
1.0,27,92,1,gpt-3.5-turbo,2.0,11000,125.40416362351344,22,15,9,6,3,2,1,132.53012048192772,1375.0,0.8029371181736595
2.0,27,92,2,claude-v1,1.0,10882,184.74166885997693,37,20,17,12,9,7,3,157.71014492753622,1813.6666666666667,0.643112147230235
1.0,419,92,1,gpt-3.5-turbo,1.75,26306,125.40416362351344,55,23,10,5,3,2,0,316.93975903614455,3288.25,1.9201876209705715
2.0,419,92,2,claude-v1,1.25,36282,184.74166885997693,73,24,10,8,5,3,2,525.8260869565217,6047.0,2.1442193462421786
1.0,352,92,1,gpt-3.5-turbo,1.75,35767,125.40416362351344,53,20,8,5,1,0,0,430.9277108433735,4470.875,2.610786536883389
2.0,352,92,2,claude-v1,1.25,43768,184.74166885997693,40,12,5,3,1,1,0,634.3188405797101,7294.666666666667,2.586632278990344
1.0,86,92,1,gpt-3.5-turbo,1.25,17371,125.40416362351344,58,33,14,5,3,1,0,209.289156626506,2171.375,1.0266036674817507
2.0,86,92,2,claude-v1,1.75,25266,184.74166885997693,72,30,11,4,3,1,1,366.17391304347825,4211.0,1.8442735661614256
1.0,505,92,1,gpt-3.5-turbo,1.0,18216,90.45894930919168,36,17,4,3,1,1,1,455.4,6072.0,1.0044881512776653
2.0,505,92,2,claude-v1,2.0,37417,312.79447084094863,71,40,23,15,9,8,5,393.86315789473684,4677.125,5.365923028614415
1.0,171,92,1,gpt-3.5-turbo,1.25,10394,90.45894930919168,27,14,5,2,1,1,0,259.85,3464.6666666666665,1.4905899446620046
2.0,171,92,2,claude-v1,1.75,39438,312.79447084094863,104,54,25,17,10,3,3,415.13684210526316,4929.75,2.174736699060637
1.0,213,92,1,gpt-3.5-turbo,1.0,5773,90.45894930919168,15,9,6,3,2,2,1,144.325,1924.3333333333333,0.3183415731953207
2.0,213,92,2,claude-v1,2.0,33634,312.79447084094863,85,50,23,17,13,9,6,354.0421052631579,4204.25,4.823407946773318
1.0,217,92,1,gpt-3.5-turbo,1.25,4619,90.45894930919168,13,8,6,3,2,0,0,115.475,1539.6666666666667,0.2547063444637427
2.0,217,92,2,claude-v1,1.75,20525,312.79447084094863,54,40,19,13,7,6,5,216.05263157894737,2565.625,2.9434634033276548
1.0,140,92,1,gpt-3.5-turbo,2.0,14902,90.45894930919168,37,21,13,7,1,1,0,372.55,4967.333333333333,0.8217436555961666
2.0,140,92,2,claude-v1,1.0,42175,312.79447084094863,101,56,43,24,18,15,6,443.94736842105266,5271.875,6.048261585156825
1.0,65,92,1,gpt-3.5-turbo,1.75,11678,90.45894930919168,28,13,6,2,0,0,0,291.95,3892.6666666666665,0.643962046037581
2.0,65,92,2,claude-v1,1.25,24611,312.79447084094863,50,25,11,6,2,1,1,259.06315789473683,3076.375,3.5294313188451603
1.0,18,92,1,gpt-3.5-turbo,1.0,9315,90.45894930919168,22,16,14,6,4,3,2,232.875,3105.0,0.5136587137215334
2.0,18,92,2,claude-v1,2.0,12627,312.79447084094863,26,15,11,10,7,4,2,132.9157894736842,1578.375,1.8108215539010133
1.0,356,92,1,gpt-3.5-turbo,1.75,20080,90.45894930919168,36,17,14,9,7,4,3,502.0,6693.333333333333,2.8796465353870553
2.0,356,92,2,claude-v1,1.25,31710,312.79447084094863,77,45,25,12,8,5,4,333.7894736842105,3963.75,1.7485902106398095
