nll-word-b-1,nll-word-b-2,nll-word-b-3,nll-word-b-4,nll-word-b-5,nll-word-b-6,nll-word-b-7,nll-word-b-8,nll-word-b-9,nll-word-b-10,nll-word-b-11,nll-word-b-12,nll-word-b-13,nll-word-b-14,nll-word-b-15,nll-word-b-16,nll-word-b-17,nll-word-b-18,nll-word-b-19,nll-word-b-20,nll-word-b-21,nll-word-b-22,nll-word-b-23,nll-word-b-24,nll-word-b-25,nll-word-b-26,nll-word-b-27,nll-word-b-28,nll-word-b-29,nll-word-b-30,nll-word-b-31,nll-word-b-32,nll-word-b-33,nll-word-b-34,nll-word-b-35,nll-word-b-36,nll-word-b-37,nll-word-b-38,nll-word-b-39,nll-word-b-40,nll-word-b-41,nll-word-b-42,nll-word-b-43,nll-word-b-44,nll-word-b-45,nll-word-b-46,nll-word-b-47,nll-word-b-48,nll-word-b-49,nll-word-b-50,nll-word-b-51,nll-word-b-52,nll-word-b-53,nll-word-b-54,nll-word-b-55,nll-word-b-56,nll-word-b-57,nll-word-b-58,nll-word-b-59,nll-word-b-60,nll-word-b-61,nll-word-b-62,nll-word-b-63,nll-word-b-64,nll-word-b-65,nll-word-b-66,nll-word-b-67,nll-word-b-68,nll-word-b-69,nll-word-b-70,nll-word-b-71,nll-word-b-72,nll-word-b-73,nll-word-b-74,nll-word-b-75,nll-word-b-76,nll-word-b-77,nll-word-b-78,nll-word-b-79,nll-word-b-80,nll-word-b-81,nll-word-b-82,nll-word-b-83,nll-word-b-84,nll-word-b-85,nll-word-b-86,nll-word-b-87,nll-word-b-88,nll-word-b-89,nll-word-b-90,nll-word-b-91,nll-word-b-92,nll-word-b-93,nll-word-b-94,nll-word-b-95,nll-word-b-96,nll-word-b-97,nll-word-b-98,nll-word-b-99,nll-word-b-100,nll-word-b-101,nll-word-b-amount
"('dryers', 14.669021606445312)","('are', 1.8747670650482178)","('extremely', 5.960794448852539)","('unhygienic', 10.612627773080021)","('and', 1.414170503616333)","('inefficient', 5.897274971008301)","('They', 0.7997635006904602)","('blast', 2.37772274017334)","('bacteria', 10.879422187805176)","('and', 6.9786272048950195)","('pathogens', 1.3952146768569946)","('all', 4.5273118019104)","('over', 6.1155195236206055)","('ones', 7.492152631282806)","('hands', 1.6284027099609375)","('and', 2.712372303009033)","('the', 1.1682360172271729)","('surrounding', 3.6656179428100586)","('area', 4.897097587585449)","('Not', 1.081634759902954)","('to', 0.6234270930290222)","('mention', 5.220699310302734)","('they', 2.112975597381592)","('are', 0.02429010346531868)","('terribly', 2.558286666870117)","('loud', 1.4569913148880005)","('and', 6.6837029457092285)","('damaging', 2.504760265350342)","('to', 1.4969512224197388)","('the', 7.253121376037598)","('eardrums', 7.527349263429642)","('Paper', 0.06570208817720413)","('towels', 0.14419837296009064)","('are', 0.4819769561290741)","('clearly', 9.984071731567383)","('the', 0.7575846910476685)","('superior', 1.0249133110046387)","('hand', 8.356663703918457)","('drying', 1.8511755466461182)","('method', 4.729421615600586)","('They', 4.183640480041504)","('are', 4.33303165435791)","('more', 2.69360613822937)","('sanitary', 3.8557711839675903)","('and', 0.9062725305557251)","('gentle', 3.5370376110076904)","('on', 3.297630786895752)","('the', 0.0024833811912685633)","('hands', 0.7376473546028137)","('while', 5.56119441986084)","('also', 1.3287757635116577)","('being', 0.43831950426101685)","('quieter', 3.601646065711975)","('and', 3.050177574157715)","('better', 2.3744430541992188)","('for', 1.6880223751068115)","('the', 6.207891941070557)","('environment', 0.0005788319394923747)","('since', 1.2810413837432861)","('they', 4.799713611602783)","('can', 0.8385171294212341)","('be', 0.32784023880958557)","('recycled', 0.3696732819080353)","('Hand', 6.7855143547058105)","('dryers', 4.838363707065582)","('should', 0.6323394775390625)","('be', 3.3811123371124268)","('abolished', 0.5470277667045593)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
"('bus', 8.318964004516602)","('With', 8.278305053710938)","('all', 6.128600597381592)","('those', 3.114042282104492)","('strangers', 3.331580400466919)","('and', 6.941543102264404)","('their', 3.1665406227111816)","('germs', 12.760878801345825)","('I', 0.15120917558670044)","('think', 2.122791290283203)","('not', 2.5121829509735107)","('Ill', 5.603572487831116)","('drive', 0.8897694945335388)","('us', 1.8205236196517944)","('in', 3.3868589401245117)","('my', 4.950699806213379)","('spotless', 9.387770175933838)","('and', 3.902796745300293)","('germfree', 10.548441648483276)","('vehicle', 4.951125144958496)","('pretends', 10.551339857280254)","('to', 0.2328304499387741)","('grab', 3.2696099281311035)","('car', 1.0663208961486816)","('keys', 8.832564353942871)","('To', 9.119266510009766)","('the', 0.4255485534667969)","('Cheesecake', 13.928375348448753)","('Factory', 0.7598416209220886)","('makes', 7.42445707321167)","('driving', 1.9778330326080322)","('sound', 8.573884010314941)","('effects', 2.357877731323242)","('We', 0.5376605987548828)","('have', 0.026138801127672195)","('arrived', 0.16495829820632935)","('Ive', 4.325343370437622)","('already', 4.517477035522461)","('looked', 9.246957778930664)","('at', 3.1570355892181396)","('the', 11.651056289672852)","('menu', 0.4214809238910675)","('and', 3.654232978820801)","('nutrition', 2.9081168174743652)","('information', 4.173008918762207)","('online', 1.5052798986434937)","('so', 2.6406524181365967)","('I', 2.9924166202545166)","('know', 3.8816423416137695)","('exactly', 5.556768894195557)","('what', 1.2160704135894775)","('to', 0.5038549900054932)","('order', 2.0848031044006348)","('to', 1.3836604356765747)","('maximize', 10.042125701904297)","('taste', 1.5939693450927734)","('and', 5.130478382110596)","('minimize', 5.035479545593262)","('unhealthy', 0.7729485630989075)","('fats', 1.685270071029663)","('May', 2.3776636123657227)","('I', 0.6251443028450012)","('suggest', 1.3170936107635498)","('we', 1.2947309017181396)","('start', 5.76275634765625)","('with', 4.485596656799316)","('an', 6.544045448303223)","('appetizer', 5.1043479442596436)","('of', 6.982236862182617)","('lettuce', 3.0836875438690186)","('wraps', 0.4028538763523102)","('and', 9.372343063354492)","('an', 0.7739753127098083)","('entree', 7.550105571746826)","('of', 2.677340507507324)","('pasta', 0.40500208735466003)","('primavera', 7.114461209159344)","('with', 1.3946547508239746)","('grilled', 6.237897872924805)","('chicken', 3.664377212524414)","('I', 1.6880438327789307)","('calculated', 4.526564598083496)","('that', 2.9243242740631104)","('should', 0.023213068023324013)","('provide', 0.051973383873701096)","('optimal', 6.058415412902832)","('nutrition', 7.756879806518555)","('as', 0.35659828782081604)","('well', 0.004045161418616772)","('as', 2.3959872722625732)","('leftovers', 5.94423520565033)","('for', 2.392434597015381)","('tomorrows', 14.441134929656982)","('lunch', 1.2943041324615479)",,,,,,,,94
"('I', 4.199001312255859)","('appreciate', 5.838553428649902)","('the', 0.9292922616004944)","('invitation', 8.371984481811523)","('as', 0.8296478986740112)","('an', 4.7882609367370605)","('AI', 3.278780698776245)","('digital', 7.076516628265381)","('assistant', 10.803695678710938)","('I', 2.3381078243255615)","('am', 0.7779379487037659)","('unable', 0.6499180793762207)","('to', 2.349459648132324)","('physically', 3.864565372467041)","('accompany', 0.020891962572932243)","('you', 7.466161727905273)","('or', 4.912364959716797)","('enjoy', 0.6286217570304871)","('a', 4.172745704650879)","('meal', 7.795805931091309)","('However', 3.3520846366882324)","('I', 1.8363484144210815)","('can', 1.4928040504455566)","('provide', 3.8382933139801025)","('assistance', 0.053703755140304565)","('in', 0.7839392423629761)","('finding', 1.8475240468978882)","('a', 3.0109188556671143)","('suitable', 3.5447897911071777)","('restaurant', 1.4076416492462158)","('and', 5.373677730560303)","('information', 1.5164285898208618)","('on', 3.4382336139678955)","('bus', 1.551468014717102)","('schedules', 2.121534824371338)","('if', 6.625232696533203)","('youd', 8.20842432975769)","('like', 1.7518635988235474)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
"('I', 0.47236359119415283)","('must', 1.8511991500854492)","('say', 5.9078049659729)","('I', 1.5403532981872559)","('find', 1.2318899631500244)","('hand', 1.5003550052642822)","('dryers', 17.837738037109375)","('to', 7.764975547790527)","('be', 0.2475009709596634)","('a', 2.26374888420105)","('rather', 0.0494498647749424)","('unsanitary', 11.041416049003601)","('and', 2.514298915863037)","('inefficient', 0.02269788645207882)","('method', 2.760648250579834)","('of', 4.763838768005371)","('drying', 1.7433257102966309)","('ones', 2.4524326026439667)","('hands', 4.5823163986206055)","('The', 0.16383324563503265)","('highspeed', 1.3278027474880219)","('jets', 3.4075913429260254)","('of', 7.4495978355407715)","('air', 2.616777181625366)","('can', 3.674990177154541)","('spread', 6.458765029907227)","('bacteria', 1.2485145330429077)","('and', 2.0624125003814697)","('other', 3.7023732662200928)","('microorganisms', 6.544579029083252)","('potentially', 3.65964674949646)","('making', 1.1021857261657715)","('the', 1.548309564590454)","('situation', 3.3282926082611084)","('worse', 2.9561328887939453)","('than', 7.0003204345703125)","('it', 2.9423274993896484)","('was', 1.9741090536117554)","('before', 5.993613243103027)","('Furthermore', 0.40117478370666504)","('the', 3.0393550395965576)","('noise', 0.15854501724243164)","('pollution', 2.910557270050049)","('caused', 2.281012535095215)","('by', 0.5754839777946472)","('these', 5.43873929977417)","('machines', 0.01766144670546055)","('can', 1.5845329761505127)","('be', 7.445220470428467)","('quite', 5.372138023376465)","('irritating', 2.440449770539999)","('especially', 2.2312402725219727)","('when', 2.857036590576172)","('used', 0.9397740960121155)","('in', 0.9729201793670654)","('public', 1.318860650062561)","('restrooms', 4.190568579942919)","('In', 1.7210354804992676)","('my', 1.714166283607483)","('opinion', 1.4980562925338745)","('paper', 2.9837822914123535)","('towels', 1.1656482219696045)","('or', 3.11230206489563)","('electric', 4.06416130065918)","('dryers', 0.633815910667181)","('are', 3.695631265640259)","('more', 2.547809600830078)","('hygienic', 11.000339850783348)","('and', 3.505502700805664)","('convenient', 9.476761817932129)","('options', 2.103072166442871)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
"('Sheldon', 15.732728406786919)","('I', 2.513239860534668)","('must', 2.6910319328308105)","('decline', 5.377306938171387)","('your', 6.877413749694824)","('offer', 1.8766560554504395)","('to', 0.8096702694892883)","('take', 1.4395208358764648)","('the', 3.527629852294922)","('bus', 1.97704017162323)","('I', 6.313116073608398)","('find', 1.8762997388839722)","('public', 1.2857487201690674)","('transportation', 5.645901679992676)","('to', 7.595034599304199)","('be', 0.3484881520271301)","('unsavory', 7.254345748573542)","('and', 6.20176887512207)","('I', 2.024226427078247)","('prefer', 0.00855767261236906)","('to', 2.4891045093536377)","('travel', 1.520706057548523)","('in', 1.0104165077209473)","('my', 3.3960187435150146)","('own', 0.6573991775512695)","('vehicle', 2.6099088191986084)","('Thank', 2.825331211090088)","('you', 1.3794727325439453)","('for', 0.3614145815372467)","('the', 1.2891149520874023)","('invitation', 0.8113726377487183)","('but', 4.118216514587402)","('I', 0.017875289544463158)","('will', 0.9645324349403381)","('pass', 1.7369048595428467)","('on', 4.045557498931885)","('the', 1.135729193687439)","('bus', 0.9826955199241638)","('ride', 0.4694756865501404)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
"('bus', 8.318964004516602)","('With', 8.278305053710938)","('all', 6.128600597381592)","('those', 3.114042282104492)","('strangers', 3.331580400466919)","('and', 6.941543102264404)","('their', 3.1665406227111816)","('germs', 12.760878801345825)","('I', 0.15120917558670044)","('think', 2.122791290283203)","('not', 2.5121829509735107)","('Ill', 5.603572487831116)","('drive', 0.8897694945335388)","('us', 1.8205236196517944)","('in', 3.3868589401245117)","('my', 4.950699806213379)","('spotless', 9.387770175933838)","('and', 3.902796745300293)","('germfree', 10.548441648483276)","('vehicle', 4.951125144958496)","('pretends', 10.551339857280254)","('to', 0.2328304499387741)","('grab', 3.2696099281311035)","('car', 1.0663208961486816)","('keys', 8.832564353942871)","('To', 9.119266510009766)","('the', 0.4255485534667969)","('Cheesecake', 13.928375348448753)","('Factory', 0.7598416209220886)","('makes', 7.42445707321167)","('driving', 1.9778330326080322)","('sound', 8.573884010314941)","('effects', 2.357877731323242)","('We', 0.5376605987548828)","('have', 0.026138801127672195)","('arrived', 0.16495829820632935)","('Ive', 4.325343370437622)","('already', 4.517477035522461)","('looked', 9.246957778930664)","('at', 3.1570355892181396)","('the', 11.651056289672852)","('menu', 0.4214809238910675)","('and', 3.654232978820801)","('nutrition', 2.9081168174743652)","('information', 4.173008918762207)","('online', 1.5052798986434937)","('so', 2.6406524181365967)","('I', 2.9924166202545166)","('know', 3.8816423416137695)","('exactly', 5.556768894195557)","('what', 1.2160704135894775)","('to', 0.5038549900054932)","('order', 2.0848031044006348)","('to', 1.3836604356765747)","('maximize', 10.042125701904297)","('taste', 1.5939693450927734)","('and', 5.130478382110596)","('minimize', 5.035479545593262)","('unhealthy', 0.7729485630989075)","('fats', 1.685270071029663)","('May', 2.3776636123657227)","('I', 0.6251443028450012)","('suggest', 1.3170936107635498)","('we', 1.2947309017181396)","('start', 5.76275634765625)","('with', 4.485596656799316)","('an', 6.544045448303223)","('appetizer', 5.1043479442596436)","('of', 6.982236862182617)","('lettuce', 3.0836875438690186)","('wraps', 0.4028538763523102)","('and', 9.372343063354492)","('an', 0.7739753127098083)","('entree', 7.550105571746826)","('of', 2.677340507507324)","('pasta', 0.40500208735466003)","('primavera', 7.114461209159344)","('with', 1.3946547508239746)","('grilled', 6.237897872924805)","('chicken', 3.664377212524414)","('I', 1.6880438327789307)","('calculated', 4.526564598083496)","('that', 2.9243242740631104)","('should', 0.023213068023324013)","('provide', 0.051973383873701096)","('optimal', 6.058415412902832)","('nutrition', 7.756879806518555)","('as', 0.35659828782081604)","('well', 0.004045161418616772)","('as', 2.3959872722625732)","('leftovers', 5.94423520565033)","('for', 2.392434597015381)","('tomorrows', 14.441134929656982)","('lunch', 1.2943041324615479)",,,,,,,,94
"('appreciate', 7.909630298614502)","('the', 1.5810930728912354)","('offer', 5.373400688171387)","('but', 1.2530592679977417)","('I', 0.40098538994789124)","('would', 0.9685202836990356)","('prefer', 3.373774766921997)","('to', 1.5992825031280518)","('drive', 0.5831183791160583)","('or', 7.148837566375732)","('take', 5.314690589904785)","('a', 2.5827877521514893)","('cab', 1.3449902534484863)","('instead', 2.2595572471618652)","('of', 2.549288034439087)","('the', 1.1056337356567383)","('bus', 2.8800642490386963)","('Buses', 3.084821105003357)","('can', 7.889596462249756)","('be', 0.24786853790283203)","('crowded', 3.3419482707977295)","('and', 1.040994644165039)","('unpredictable', 4.299073219299316)","('and', 1.3256175518035889)","('I', 6.995965957641602)","('prefer', 1.2367011308670044)","('to', 0.9548919796943665)","('have', 1.322256326675415)","('more', 4.029138565063477)","('control', 0.7210062146186829)","('over', 3.7378742694854736)","('my', 4.191815376281738)","('transportation', 1.0566480159759521)","('Thank', 1.0965481996536255)","('you', 0.8097308278083801)","('for', 2.7942001819610596)","('the', 0.6313930749893188)","('invitation', 4.082136154174805)","('though', 0.01237888541072607)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
"('Sheldon', 15.732728406786919)","('I', 2.513239860534668)","('am', 2.6910319328308105)","('a', 3.0122480392456055)","('staunch', 10.14916729927063)","('proponent', 4.05371555313468)","('of', 0.0028704889118671417)","('hand', 0.07477948814630508)","('dryers', 16.830419540405273)","('Firstly', 0.1907891482114792)","('they', 1.0947740077972412)","('are', 10.058320045471191)","('much', 0.18406282365322113)","('more', 1.542978048324585)","('efficient', 1.0986030101776123)","('than', 3.9342379570007324)","('paper', 1.1077799797058105)","('towels', 1.75709867477417)","('as', 1.0054634809494019)","('they', 5.327239990234375)","('dry', 0.3194667100906372)","('hands', 1.4575191736221313)","('quickly', 3.670032262802124)","('and', 0.5500544309616089)","('hygienically', 12.156047582626343)","('Secondly', 9.958389282226562)","('they', 0.0069006457924842834)","('are', 0.01626366749405861)","('environmentally', 0.024209586903452873)","('friendly', 0.5102030634880066)","('as', 0.6586808562278748)","('they', 0.01663469336926937)","('reduce', 0.6549334526062012)","('the', 1.170701265335083)","('need', 3.1117453575134277)","('to', 0.19378428161144257)","('use', 0.9400730729103088)","('paper', 1.575528621673584)","('towels', 0.5137746930122375)","('Finally', 4.611118316650391)","('they', 0.8762684464454651)","('are', 1.9885985851287842)","('costeffective', 4.122912049293518)","('as', 2.9177916049957275)","('they', 0.17502917349338531)","('eliminate', 1.1503593921661377)","('the', 2.9675300121307373)","('need', 0.02504306100308895)","('to', 0.5294310450553894)","('continually', 0.9244059920310974)","('purchase', 4.308624267578125)","('paper', 1.2885507345199585)","('towels', 0.10230795294046402)","('In', 0.9215046167373657)","('short', 0.5294881463050842)","('hand', 0.5907604098320007)","('dryers', 5.238263547420502)","('are', 0.527410089969635)","('a', 0.8140233159065247)","('superior', 7.278097152709961)","('option', 2.458395004272461)","('to', 2.050050735473633)","('paper', 0.060505013912916183)","('towels', 0.7960675954818726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"('dryers', 14.669021606445312)","('are', 1.8747670650482178)","('extremely', 5.960794448852539)","('unhygienic', 10.612627773080021)","('and', 1.414170503616333)","('inefficient', 5.897274971008301)","('They', 0.7997635006904602)","('blast', 2.37772274017334)","('bacteria', 10.879422187805176)","('and', 6.9786272048950195)","('pathogens', 1.3952146768569946)","('all', 4.5273118019104)","('over', 6.1155195236206055)","('ones', 7.492152631282806)","('hands', 1.6284027099609375)","('and', 2.712372303009033)","('the', 1.1682360172271729)","('surrounding', 3.6656179428100586)","('area', 4.897097587585449)","('Not', 1.081634759902954)","('to', 0.6234270930290222)","('mention', 5.220699310302734)","('they', 2.112975597381592)","('are', 0.02429010346531868)","('terribly', 2.558286666870117)","('loud', 1.4569913148880005)","('and', 6.6837029457092285)","('damaging', 2.504760265350342)","('to', 1.4969512224197388)","('the', 7.253121376037598)","('eardrums', 7.527349263429642)","('Paper', 0.06570208817720413)","('towels', 0.14419837296009064)","('are', 0.4819769561290741)","('clearly', 9.984071731567383)","('the', 0.7575846910476685)","('superior', 1.0249133110046387)","('hand', 8.356663703918457)","('drying', 1.8511755466461182)","('method', 4.729421615600586)","('They', 4.183640480041504)","('are', 4.33303165435791)","('more', 2.69360613822937)","('sanitary', 3.8557711839675903)","('and', 0.9062725305557251)","('gentle', 3.5370376110076904)","('on', 3.297630786895752)","('the', 0.0024833811912685633)","('hands', 0.7376473546028137)","('while', 5.56119441986084)","('also', 1.3287757635116577)","('being', 0.43831950426101685)","('quieter', 3.601646065711975)","('and', 3.050177574157715)","('better', 2.3744430541992188)","('for', 1.6880223751068115)","('the', 6.207891941070557)","('environment', 0.0005788319394923747)","('since', 1.2810413837432861)","('they', 4.799713611602783)","('can', 0.8385171294212341)","('be', 0.32784023880958557)","('recycled', 0.3696732819080353)","('Hand', 6.7855143547058105)","('dryers', 4.838363707065582)","('should', 0.6323394775390625)","('be', 3.3811123371124268)","('abolished', 0.5470277667045593)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
"('bus', 8.318964004516602)","('With', 8.278305053710938)","('all', 6.128600597381592)","('those', 3.114042282104492)","('strangers', 3.331580400466919)","('and', 6.941543102264404)","('their', 3.1665406227111816)","('germs', 12.760878801345825)","('I', 0.15120917558670044)","('think', 2.122791290283203)","('not', 2.5121829509735107)","('Ill', 5.603572487831116)","('drive', 0.8897694945335388)","('us', 1.8205236196517944)","('in', 3.3868589401245117)","('my', 4.950699806213379)","('spotless', 9.387770175933838)","('and', 3.902796745300293)","('germfree', 10.548441648483276)","('vehicle', 4.951125144958496)","('pretends', 10.551339857280254)","('to', 0.2328304499387741)","('grab', 3.2696099281311035)","('car', 1.0663208961486816)","('keys', 8.832564353942871)","('To', 9.119266510009766)","('the', 0.4255485534667969)","('Cheesecake', 13.928375348448753)","('Factory', 0.7598416209220886)","('makes', 7.42445707321167)","('driving', 1.9778330326080322)","('sound', 8.573884010314941)","('effects', 2.357877731323242)","('We', 0.5376605987548828)","('have', 0.026138801127672195)","('arrived', 0.16495829820632935)","('Ive', 4.325343370437622)","('already', 4.517477035522461)","('looked', 9.246957778930664)","('at', 3.1570355892181396)","('the', 11.651056289672852)","('menu', 0.4214809238910675)","('and', 3.654232978820801)","('nutrition', 2.9081168174743652)","('information', 4.173008918762207)","('online', 1.5052798986434937)","('so', 2.6406524181365967)","('I', 2.9924166202545166)","('know', 3.8816423416137695)","('exactly', 5.556768894195557)","('what', 1.2160704135894775)","('to', 0.5038549900054932)","('order', 2.0848031044006348)","('to', 1.3836604356765747)","('maximize', 10.042125701904297)","('taste', 1.5939693450927734)","('and', 5.130478382110596)","('minimize', 5.035479545593262)","('unhealthy', 0.7729485630989075)","('fats', 1.685270071029663)","('May', 2.3776636123657227)","('I', 0.6251443028450012)","('suggest', 1.3170936107635498)","('we', 1.2947309017181396)","('start', 5.76275634765625)","('with', 4.485596656799316)","('an', 6.544045448303223)","('appetizer', 5.1043479442596436)","('of', 6.982236862182617)","('lettuce', 3.0836875438690186)","('wraps', 0.4028538763523102)","('and', 9.372343063354492)","('an', 0.7739753127098083)","('entree', 7.550105571746826)","('of', 2.677340507507324)","('pasta', 0.40500208735466003)","('primavera', 7.114461209159344)","('with', 1.3946547508239746)","('grilled', 6.237897872924805)","('chicken', 3.664377212524414)","('I', 1.6880438327789307)","('calculated', 4.526564598083496)","('that', 2.9243242740631104)","('should', 0.023213068023324013)","('provide', 0.051973383873701096)","('optimal', 6.058415412902832)","('nutrition', 7.756879806518555)","('as', 0.35659828782081604)","('well', 0.004045161418616772)","('as', 2.3959872722625732)","('leftovers', 5.94423520565033)","('for', 2.392434597015381)","('tomorrows', 14.441134929656982)","('lunch', 1.2943041324615479)",,,,,,,,94
"('based', 0.4723716974258423)","('on', 9.51331615447998)","('my', 0.057009391486644745)","('personal', 2.4755282402038574)","('experience', 4.18022346496582)","('and', 0.6650500297546387)","('scientific', 2.464150905609131)","('research', 8.1001615524292)","('I', 1.8293445110321045)","('believe', 0.2890177369117737)","('that', 1.1406104564666748)","('hand', 2.0980119705200195)","('dryers', 10.363435208797455)","('are', 6.308664798736572)","('a', 0.09065280854701996)","('more', 1.0781883001327515)","('hygienic', 12.840802647173405)","('option', 0.1192743182182312)","('compared', 0.010394719429314137)","('to', 3.021786689758301)","('paper', 5.186395645141602)","('towels', 0.06682555377483368)","('They', 6.425817489624023)","('help', 0.548941433429718)","('reduce', 0.900698184967041)","('the', 3.241767406463623)","('amount', 4.924177169799805)","('of', 3.3409600257873535)","('waste', 0.7075026631355286)","('generated', 1.7460567951202393)","('in', 0.019641079008579254)","('restrooms', 6.391343832015991)","('and', 2.4575417041778564)","('are', 10.198413848876953)","('costeffective', 1.7312087714672089)","('for', 2.3351688385009766)","('businesses', 6.247968673706055)","('However', 0.9667239189147949)","('some', 0.13775646686553955)","('studies', 2.7020058631896973)","('have', 5.272655487060547)","('shown', 1.1784098148345947)","('that', 4.116450786590576)","('hand', 0.031202858313918114)","('dryers', 8.431982517242432)","('can', 0.5565524697303772)","('spread', 0.726757824420929)","('bacteria', 0.14465709030628204)","('and', 1.8734465837478638)","('viruses', 0.06443753838539124)","('if', 0.00902549084275961)","('they', 1.4963728189468384)","('are', 6.675928115844727)","('not', 1.3211394548416138)","('properly', 0.9582674503326416)","('maintained', 2.1458818912506104)","('and', 5.081767559051514)","('cleaned', 1.307369589805603)","('Therefore', 0.4103534519672394)","('it', 0.7381078004837036)","('is', 1.4669477939605713)","('important', 2.3097410202026367)","('to', 1.553756833076477)","('use', 0.6769144535064697)","('highquality', 4.074642896652222)","('hand', 0.03818783536553383)","('dryers', 1.8883216381072998)","('and', 0.9439127445220947)","('ensure', 0.47920334339141846)","('that', 3.1178455352783203)","('they', 5.1578369140625)","('are', 0.31617775559425354)","('regularly', 0.09888182580471039)","('cleaned', 0.7684506773948669)","('and', 0.06919275969266891)","('maintained', 0.0891999751329422)","('to', 2.4648141860961914)","('prevent', 3.164870262145996)","('any', 0.5259112119674683)","('potential', 0.4944683313369751)","('health', 0.16083957254886627)","('risks', 3.2091877460479736)",,,,,,,,,,,,,,,,,,,,82
"('appreciate', 7.9096221923828125)","('the', 1.5810818672180176)","('offer', 5.373434066772461)","('but', 1.2530471086502075)","('I', 0.400979220867157)","('would', 0.9685208797454834)","('prefer', 3.3737986087799072)","('to', 1.5992860794067383)","('drive', 0.5831087827682495)","('or', 7.148833274841309)","('take', 5.314684867858887)","('a', 2.582778215408325)","('cab', 1.3449995517730713)","('instead', 2.2595887184143066)","('of', 2.5492358207702637)","('the', 1.105622410774231)","('bus', 2.8801050186157227)","('Buses', 3.084793269634247)","('can', 7.889703273773193)","('be', 0.2478674203157425)","('crowded', 3.3419618606567383)","('and', 1.040985107421875)","('unpredictable', 4.299068450927734)","('and', 1.3256336450576782)","('I', 6.995925426483154)","('prefer', 1.2366925477981567)","('to', 0.9548938274383545)","('have', 1.3222532272338867)","('more', 4.029167175292969)","('control', 0.7209955453872681)","('over', 3.737839698791504)","('my', 4.1918511390686035)","('transportation', 1.0566773414611816)","('Thank', 1.0965912342071533)","('you', 0.8097257614135742)","('for', 2.7942004203796387)","('the', 0.6314272284507751)","('invitation', 4.082122325897217)","('though', 0.012379356659948826)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
"('I', 1.9646724462509155)","('can', 1.9477742910385132)","('help', 3.1583404541015625)","('you', 4.0293169021606445)","('with', 0.5479321479797363)","('that', 1.7284107208251953)","('Can', 0.4607798159122467)","('you', 1.38286292552948)","('provide', 5.238863468170166)","('me', 0.5883113145828247)","('with', 6.655264854431152)","('more', 0.5707232356071472)","('information', 0.13649700582027435)","('about', 4.431254863739014)","('the', 0.8458490371704102)","('symptoms', 1.4636973142623901)","('the', 1.4389073848724365)","('patient', 7.3446879386901855)","('is', 6.491180419921875)","('experiencing', 2.3538804054260254)","('For', 1.7283728122711182)","('example', 1.0583178997039795)","('is', 1.3827053308486938)","('there', 5.780795097351074)","('any', 0.47639167308807373)","('particular', 0.1973930299282074)","('area', 2.4984002113342285)","('of', 1.7925574779510498)","('the', 1.41009521484375)","('abdomen', 3.009249687194824)","('that', 3.883934497833252)","('is', 0.7637766599655151)","('hurting', 0.5316103100776672)","('Is', 4.040489196777344)","('the', 0.6093040704727173)","('pain', 1.676479458808899)","('constant', 4.334525108337402)","('or', 1.2342371940612793)","('intermittent', 2.3315305709838867)","('Does', 1.863276481628418)","('the', 0.8275126218795776)","('patient', 3.9236316680908203)","('experience', 0.8649716377258301)","('any', 1.9224905967712402)","('other', 0.20794223248958588)","('symptoms', 3.071514844894409)","('such', 0.9252400994300842)","('as', 1.4642951488494873)","('nausea', 3.683457136154175)","('or', 0.8717437982559204)","('vomiting', 2.713320255279541)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
